mat,por
5,0
5,9
7,12
15,14
6,11
15,12
12,13
6,10
16,15
14,12
10,14
10,10
14,12
10,12
14,14
14,17
13,13
8,13
6,8
8,12
13,12
12,11
15,12
13,10
10,10
6,10
12,11
15,11
11,12
10,12
9,10
17,15
17,13
8,13
12,12
8,11
15,14
15,13
12,11
14,14
7,11
12,10
19,14
8,9
10,10
8,10
11,13
19,17
15,11
7,13
12,14
11,16
11,10
8,13
10,13
8,12
14,15
14,15
9,14
15,16
10,17
10,10
8,13
10,14
10,13
16,16
13,11
7,10
8,11
16,15
13,13
10,11
8,13
12,13
11,11
9,11
11,12
11,13
8,9
8,9
5,9
5,9
5,12
10,11
11,10
7,12
15,13
9,13
7,12
8,13
13,15
11,12
8,9
7,9
16,14
7,12
11,13
11,11
7,13
11,9
8,13
11,12
7,12
7,9
16,16
10,12
7,11
16,16
10,10
7,10
16,13
16,11
12,13
12,11
10,12
14,15
18,13
7,11
10,8
18,18
9,10
15,16
15,9
7,16
7,9
11,16
13,14
9,12
14,14
16,14
16,14
13,14
14,12
8,12
13,9
7,10
7,9
18,14
12,10
8,11
10,13
12,15
9,12
11,13
10,10
4,9
14,10
16,13
7,9
9,12
9,13
14,10
8,12
6,11
10,13
8,12
6,11
12,9
10,13
5,11
11,13
11,7
16,9
9,11
17,12
10,10
7,8
5,8
10,9
14,17
6,12
14,16
6,9
13,16
13,11
8,14
10,14
10,10
13,13
6,11
10,10
10,11
9,11
16,17
9,14
12,14
12,11
11,10
15,13
8,12
8,9
11,12
8,12
7,10
8,11
13,13
14,14
17,13
9,10
18,14
9,11
16,14
8,11
9,14
7,13
10,13
10,8
7,11
11,14
9,12
7,11
8,12
12,13
12,13
6,12
8,12
14,14
6,11
6,10
7,12
9,12
6,11
6,12
16,13
12,10
13,15
9,8
16,17
12,10
10,9
12,15
13,14
11,12
11,13
14,13
9,9
11,12
14,16
13,9
13,13
7,8
12,15
10,12
6,14
13,15
13,14
7,12
18,15
12,9
6,7
3,10
13,11
6,7
7,9
6,7
8,14
8,12
7,9
14,14
11,11
15,16
10,10
17,15
8,10
13,10
10,15
9,11
17,15
9,11
12,10
10,10
6,8
9,11
15,16
11,13
15,16
10,15
12,12
10,12
9,11
9,12
10,11
10,12
9,14
10,10
8,11
11,13
12,17
8,12
8,14
10,12
12,12
18,18
13,13
15,14
15,17
12,15
15,17
18,18
14,14
14,14
10,14
10,13
14,16
16,18
12,14
11,12
15,16
17,18
17,14
15,10
8,12
9,14
11,15
11,12
13,15
11,14
11,11
12,17
16,14
9,13
14,17
11,11
10,11
10,13
14,15
9,11
12,15
7,10
8,10
10,14
16,11
7,12
16,14
9,14
16,16
9,10
11,11
13,14
16,15
10,14
13,11
11,9
8,10
13,8
8,9
8,8
13,10
10,10
12,12
12,15
10,14
18,19
11,13
16,15
12,13
10,8
13,15
7,8
11,10
14,7
14,9
13,10
6,7
19,15
8,10
8,13
15,16
10,8
15,17
7,7
11,14
6,5
6,7
10,14
6,7
7,10
7,15
6,7
6,11
14,10
11,10
